country_code,Total_Startups,Closed,Avg_Funding_USD,Median_Funding_USD,Avg_Rounds,Failure_Rate_Pct
EST,32,4,2191052.78125,553288.0,1.71875,12.5
NZL,38,4,5155438.894736842,1050000.0,1.7105263157894737,10.53
RUS,136,14,6926827.080882353,1269000.0,1.713235294117647,10.29
AUT,56,5,3932942.8035714286,1193300.0,1.8214285714285714,8.93
MYS,35,3,7347297.2,500000.0,1.6857142857142857,8.57
NOR,55,4,4919226.509090909,1600000.0,1.490909090909091,7.27
BEL,89,6,5741142.438202247,1250000.0,1.651685393258427,6.74
ISR,489,31,8316885.018404908,3750000.0,1.6973415132924334,6.34
NLD,158,10,6467230.234177215,728721.5,1.5822784810126582,6.33
FRA,550,33,5770125.8945454545,2023150.0,1.4781818181818183,6.0
BRA,136,8,4089227.1397058824,405917.0,1.588235294117647,5.88
DNK,103,6,4446400.825242719,1700000.0,1.5631067961165048,5.83
GBR,1541,88,6418080.58403634,1406733.0,1.6859182349123945,5.71
ESP,320,17,3246602.115625,748243.0,1.528125,5.31
HKG,76,4,4493573.27631579,640000.0,1.5394736842105263,5.26
IRL,192,10,4948261.869791667,1069537.5,1.609375,5.21
USA,18006,894,9492322.812451405,3000000.0,2.1276241252915695,4.97
DEU,430,20,7817101.848837209,2000000.0,1.716279069767442,4.65
MEX,46,2,2634752.4782608696,190000.0,1.391304347826087,4.35
CAN,801,33,6808359.324594257,1500000.0,1.7740324594257177,4.12
POL,50,2,1577008.38,236408.0,1.32,4.0
ARG,101,4,1941302.0297029703,131568.0,1.6336633663366336,3.96
FIN,134,5,4211797.955223881,1606937.5,1.492537313432836,3.73
IND,471,17,8575598.127388535,2065000.0,1.5329087048832273,3.61
JPN,143,5,6871453.3496503495,2000000.0,1.7972027972027973,3.5
CHE,121,4,9829345.561983472,3000000.0,1.743801652892562,3.31
AUS,186,6,4935555.559139785,1070186.0,1.5806451612903225,3.23
CHN,495,15,17330953.525252525,11647446.0,2.004040404040404,3.03
SGP,174,5,5692008.442528736,850000.0,1.6436781609195403,2.87
SWE,187,5,6410230.486631016,2200000.0,1.5614973262032086,2.67
CHL,157,2,255216.3949044586,40000.0,1.1910828025477707,1.27
KOR,171,2,2720015.754385965,558375.0,1.3976608187134503,1.17
ITA,153,1,1588293.4248366014,514640.0,1.477124183006536,0.65
ARE,40,0,5809000.0,975000.0,1.325,0.0
BGR,37,0,1248748.7297297297,80000.0,1.5405405405405406,0.0
PRT,38,0,2463094.3947368423,384705.0,1.2894736842105263,0.0
TUR,57,0,4856360.421052632,1000000.0,1.5964912280701755,0.0
