KPI,Value
Total Startups Analysed,28534.0
Overall Failure Rate (%),5.08
Operating Rate (%),86.54
Acquisition Rate (%),8.38
IPO Rate (%),0.0
Median Funding — Closed ($),863880.0
Median Funding — Operating ($),1800000.0
Funding Gap (Operating vs Closed) ($),936120.0
Avg Funding Rounds — Closed,1.53
Avg Funding Rounds — Operating,1.92
Avg Funding Rounds — Acquired,2.23
Series A Post-Funding Failure Rate (%),4.59
Pre-Series A Failure Rate (%),5.33
USA Startup Failure Rate (%),4.97
Non-USA Startup Failure Rate (%),5.28
