founded_year,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Failure_Rate_Pct
1990.0,70,3,13276362.07142857,1.457142857142857,4.29
1991.0,75,1,15184520.853333334,1.5866666666666667,1.33
1992.0,92,2,13694545.086956521,1.576086956521739,2.17
1993.0,105,4,13778891.276190476,1.723809523809524,3.81
1994.0,129,4,15382990.697674418,1.7829457364341086,3.1
1995.0,169,2,15505924.952662721,1.8579881656804733,1.18
1996.0,249,8,15364196.799196787,1.9397590361445782,3.21
1997.0,310,9,15218300.003225807,1.8806451612903226,2.9
1998.0,356,9,15534688.896067416,2.0786516853932584,2.53
1999.0,655,32,16055118.07480916,2.1557251908396946,4.89
2000.0,777,37,16032172.137709137,2.133848133848134,4.76
2001.0,646,22,15177979.25232198,2.2678018575851393,3.41
2002.0,699,36,15442207.187410587,2.3533619456366237,5.15
2003.0,836,54,14998510.586124402,2.326555023923445,6.46
2004.0,988,65,16074774.233805668,2.539473684210526,6.58
2005.0,1211,94,13982664.0776218,2.5119735755573904,7.76
2006.0,1475,131,12555036.930169491,2.3925423728813557,8.88
2007.0,1900,167,10378031.198421052,2.243684210526316,8.79
2008.0,1793,137,9143508.273284998,2.2102621305075294,7.64
2009.0,2274,171,7079450.1024626205,1.984608619173263,7.52
2010.0,2866,211,5524086.341591068,1.835659455687369,7.36
2011.0,3606,162,4430613.161952302,1.7407099278979479,4.49
2012.0,3709,71,3008182.709086007,1.588837961714748,1.91
2013.0,2745,17,2094644.2484517305,1.3712204007285975,0.62
2014.0,799,1,1431662.4705882352,1.1414267834793492,0.13
